state,city,median_income
AL,Abbeville city,25615
AL,Adamsville city,42575
AL,Alabaster city,71816
AL,Albertville city,32911
AL,Alexander City city,29874
AL,Aliceville city,21131
AL,Andalusia city,31968
AL,Anniston city,29681
AL,Arab city,40292
AL,Ashville city,40547
AL,Athens city,47542
AL,Atmore city,26775
AL,Attalla city,37191
AL,Auburn city,38342
AL,Bay Minette city,31576
AL,Bayou La Batre city,34583
AL,Bessemer city,29615
AL,Birmingham city,31061
AL,Boaz city,35974
AL,Brent city,33924
AL,Brewton city,31033
AL,Bridgeport city,28571
AL,Brighton city,22146
AL,Brundidge city,23819
AL,Calera city,62893
AL,Camden city,28375
AL,Carbon Hill city,25990
AL,Center Point city,39944
AL,Centre city,31268
AL,Centreville city,41103
AL,Chelsea city,85757
AL,Chickasaw city,30973
AL,Childersburg city,25948
AL,Citronelle city,48125
AL,Clanton city,39823
AL,Clay city,68717
AL,Clio city,19539
AL,Columbiana city,32700
AL,Cordova city,19139
AL,Creola city,51705
AL,Cullman city,38746
AL,Dadeville city,29368
AL,Daleville city,45651
AL,Daphne city,60737
AL,Decatur city,41496
AL,Demopolis city,27656
AL,Dora city,40769
AL,Dothan city,42426
AL,East Brewton city,26736
AL,Elba city,26156
AL,Enterprise city,54450
AL,Eufaula city,32845
AL,Evergreen city,18661
AL,Fairfield city,34890
AL,Fairhope city,61489
AL,Fayette city,30646
AL,Florence city,35731
AL,Foley city,40938
AL,Fort Payne city,38833
AL,Fultondale city,51587
AL,Gadsden city,29136
AL,Gardendale city,56132
AL,Geneva city,29912
AL,Glencoe city,46691
AL,Graysville city,41282
AL,Greensboro city,21797
AL,Greenville city,29741
AL,Guin city,23000
AL,Gulf Shores city,47662
AL,Guntersville city,39756
AL,Haleyville city,24291
AL,Hamilton city,33053
AL,Hanceville city,29231
AL,Hartford city,22094
AL,Hartselle city,53878
AL,Headland city,51822
AL,Heflin city,25823
AL,Helena city,84615
AL,Henagar city,30757
AL,Hokes Bluff city,46042
AL,Homewood city,61626
AL,Hoover city,77146
AL,Hueytown city,42172
AL,Huntsville city,48775
AL,Indian Springs Village city,96346
AL,Irondale city,47351
AL,Jackson city,31232
AL,Jacksonville city,38903
AL,Jasper city,39695
AL,Jemison city,38500
AL,Kimberly city,76771
AL,La Fayette city,25666
AL,Lanett city,25220
AL,Leeds city,52689
AL,Lincoln city,55605
AL,Linden city,29722
AL,Lineville city,31472
AL,Lipscomb city,26163
AL,Livingston city,14426
AL,Luverne city,29844
AL,Madison city,92960
AL,Marion city,31029
AL,Midfield city,39678
AL,Millbrook city,58330
AL,Mobile city,38776
AL,Monroeville city,30678
AL,Montevallo city,34760
AL,Montgomery city,42927
AL,Moody city,61049
AL,Moulton city,28843
AL,Mountain Brook city,126534
AL,Muscle Shoals city,48896
AL,New Hope city,44224
AL,Northport city,53650
AL,Oneonta city,36852
AL,Opelika city,40489
AL,Opp city,34695
AL,Orange Beach city,57535
AL,Oxford city,51375
AL,Ozark city,37813
AL,Pelham city,67907
AL,Pell City city,41944
AL,Phenix City city,36698
AL,Piedmont city,28884
AL,Pinson city,59909
AL,Pleasant Grove city,63302
AL,Prattville city,55297
AL,Prichard city,23785
AL,Rainbow City city,49338
AL,Rainsville city,39691
AL,Red Bay city,29076
AL,Roanoke city,34956
AL,Robertsdale city,47364
AL,Russellville city,29859
AL,Samson city,22556
AL,Saraland city,52621
AL,Satsuma city,59311
AL,Scottsboro city,38007
AL,Selma city,22414
AL,Semmes city,46596
AL,Sheffield city,34205
AL,Slocomb city,35512
AL,Smiths Station city,46354
AL,Southside city,65946
AL,Spanish Fort city,72747
AL,Springville city,73906
AL,Stevenson city,38053
AL,Sulligent city,30050
AL,Sumiton city,42321
AL,Sylacauga city,33407
AL,Talladega city,29482
AL,Tallassee city,38275
AL,Tarrant city,25653
AL,Thomasville city,36146
AL,Troy city,31707
AL,Trussville city,82108
AL,Tuscaloosa city,39351
AL,Tuscumbia city,41176
AL,Tuskegee city,26896
AL,Union Springs city,30032
AL,Valley city,39531
AL,Valley Grande city,55134
AL,Vernon city,30292
AL,Vestavia Hills city,84854
AL,Warrior city,45396
AL,Weaver city,44851
AL,Wetumpka city,46190
AL,Winfield city,40654
AL,York city,17399
AK,Adak city,78500
AK,Akhiok city,26250
AK,Akiak city,42000
AK,Akutan city,24750
AK,Alakanuk city,32917
AK,Aleknagik city,41875
AK,Allakaket city,26500
AK,Ambler city,42344
AK,Anaktuvuk Pass city,66250
AK,Anderson city,87708
AK,Angoon city,32750
AK,Aniak city,60500
AK,Anvik city,26563
AK,Atka city,50625
AK,Atqasuk city,52500
AK,Barrow city,76902
AK,Bethel city,76135
AK,Bettles city,50000
AK,Brevig Mission city,32344
AK,Buckland city,60357
AK,Chefornak city,55625
AK,Chevak city,41136
AK,Chignik city,96250
AK,Chuathbaluk city,43750
AK,Clark's Point city,25833
AK,Coffman Cove city,41786
AK,Cold Bay city,86250
AK,Cordova city,85833
AK,Craig city,63229
AK,Deering city,50000
AK,Delta Junction city,72500
AK,Dillingham city,66875
AK,Diomede city,16250
AK,Eagle city,33125
AK,Eek city,39063
AK,Egegik city,38125
AK,Ekwok city,31875
AK,Elim city,37188
AK,Emmonak city,44773
AK,Fairbanks city,55229
AK,False Pass city,55625
AK,Fort Yukon city,39583
AK,Galena city,63333
AK,Gambell city,29417
AK,Golovin city,40000
AK,Goodnews Bay city,30313
AK,Grayling city,20417
AK,Gustavus city,57639
AK,Holy Cross city,36094
AK,Homer city,55849
AK,Hoonah city,57708
AK,Hooper Bay city,35938
AK,Houston city,50438
AK,Hughes city,32500
AK,Huslia city,42000
AK,Hydaburg city,31250
AK,Kachemak city,70625
AK,Kake city,40417
AK,Kaktovik city,48125
AK,Kaltag city,28750
AK,Kasaan city,49286
AK,Kenai city,62236
AK,Ketchikan city,53111
AK,Kiana city,41250
AK,King Cove city,63667
AK,Kivalina city,52917
AK,Klawock city,38125
AK,Kobuk city,43333
AK,Kodiak city,62934
AK,Kotlik city,39583
AK,Kotzebue city,87708
AK,Koyuk city,33182
AK,Koyukuk city,17083
AK,Kupreanof city,52083
AK,Kwethluk city,44063
AK,Larsen Bay city,47917
AK,Lower Kalskag city,30536
AK,McGrath city,64792
AK,Manokotak city,36667
AK,Marshall city,36875
AK,Mekoryuk city,24750
AK,Mountain Village city,39205
AK,Napakiak city,24167
AK,Napaskiak city,30625
AK,Nenana city,43250
AK,Newhalen city,56250
AK,New Stuyahok city,42813
AK,Nightmute city,39375
AK,Nikolai city,36875
AK,Nome city,76389
AK,Nondalton city,30833
AK,Noorvik city,40833
AK,North Pole city,70536
AK,Nuiqsut city,80938
AK,Nulato city,38281
AK,Nunam Iqua city,41250
AK,Nunapitchuk city,35833
AK,Old Harbor city,33750
AK,Ouzinkie city,34464
AK,Palmer city,61797
AK,Pelican city,66667
AK,Pilot Point city,28750
AK,Pilot Station city,33125
AK,Platinum city,44063
AK,Point Hope city,57292
AK,Port Alexander city,82813
AK,Port Heiden city,59375
AK,Port Lions city,41042
AK,Quinhagak city,31719
AK,Ruby city,24688
AK,Russian Mission city,36563
AK,St. George city,53750
AK,St. Mary's city,42500
AK,St. Michael city,33125
AK,St. Paul city,57708
AK,Sand Point city,56875
AK,Savoonga city,33661
AK,Saxman city,46250
AK,Scammon Bay city,27917
AK,Selawik city,41827
AK,Seldovia city,46875
AK,Seward city,53750
AK,Shaktoolik city,38750
AK,Shishmaref city,29375
AK,Shungnak city,43125
AK,Soldotna city,65048
AK,Stebbins city,39271
AK,Tanana city,45625
AK,Teller city,24792
AK,Tenakee Springs city,54375
AK,Thorne Bay city,53393
AK,Togiak city,46250
AK,Toksook Bay city,64000
AK,Unalakleet city,68015
AK,Unalaska city,90500
AK,Upper Kalskag city,36806
AK,Valdez city,98204
AK,Wainwright city,64583
AK,Wales city,29063
AK,Wasilla city,61541
AK,White Mountain city,27083
AK,Whittier city,55893
AZ,Apache Junction city,35671
AZ,Avondale city,55100
AZ,Benson city,32010
AZ,Bisbee city,31010
AZ,Bullhead City city,35948
AZ,Casa Grande city,44348
AZ,Chandler city,72695
AZ,Coolidge city,39621
AZ,Cottonwood city,36440
AZ,Douglas city,27975
AZ,El Mirage city,50326
AZ,Eloy city,31033
AZ,Flagstaff city,48680
AZ,Glendale city,46776
AZ,Globe city,42405
AZ,Goodyear city,70323
AZ,Holbrook city,50240
AZ,Kingman city,43246
AZ,Lake Havasu City city,42847
AZ,Litchfield Park city,84191
AZ,Maricopa city,65793
AZ,Mesa city,48809
AZ,Nogales city,28044
AZ,Page city,57161
AZ,Peoria city,65314
AZ,Phoenix city,47326
AZ,Prescott city,44846
AZ,Safford city,46277
AZ,St. Johns city,39348
AZ,San Luis city,30637
AZ,Scottsdale city,73288
AZ,Sedona city,55135
AZ,Show Low city,42614
AZ,Sierra Vista city,59091
AZ,Somerton city,31540
AZ,South Tucson city,21964
AZ,Surprise city,59916
AZ,Tempe city,49012
AZ,Tolleson city,31388
AZ,Tombstone city,32140
AZ,Tucson city,37149
AZ,Willcox city,42045
AZ,Williams city,40200
AZ,Winslow city,34211
AZ,Yuma city,43754
AR,Alexander city,37882
AR,Alma city,48859
AR,Altheimer city,35438
AR,Altus city,30956
AR,Amity city,28611
AR,Arkadelphia city,28581
AR,Arkansas City city,38250
AR,Ashdown city,33696
AR,Ash Flat city,22946
AR,Atkins city,40122
AR,Augusta city,28495
AR,Austin city,70652
AR,Bald Knob city,30913
AR,Barling city,36491
AR,Batesville city,38092
AR,Bay city,35984
AR,Bearden city,25417
AR,Beebe city,36558
AR,Bella Vista city,61290
AR,Belleville city,35000
AR,Benton city,51778
AR,Bentonville city,71941
AR,Berryville city,35327
AR,Bethel Heights city,52426
AR,Black Rock city,28355
AR,Blevins city,34875
AR,Blytheville city,32958
AR,Bonanza city,46071
AR,Bono city,36875
AR,Booneville city,26878
AR,Bradford city,28125
AR,Bradley city,15179
AR,Branch city,28958
AR,Briarcliff city,41250
AR,Brinkley city,23112
AR,Brookland city,40625
AR,Bryant city,60162
AR,Buckner city,35625
AR,Bull Shoals city,35737
AR,Cabot city,57790
AR,Calico Rock city,20526
AR,Calion city,35833
AR,Camden city,25256
AR,Cammack Village city,63750
AR,Campbell Station city,50833
AR,Caraway city,37917
AR,Carlisle city,47069
AR,Carthage city,41364
AR,Cave City city,26194
AR,Cave Springs city,68462
AR,Cedarville city,50313
AR,Centerton city,56552
AR,Charleston city,41607
AR,Cherokee Village city,34023
AR,Cherry Valley city,40521
AR,Chidester city,21875
AR,Clarendon city,19471
AR,Clarkedale city,84712
AR,Clarksville city,31452
AR,Clinton city,33882
AR,Coal Hill city,33438
AR,College City city,33750
AR,Colt city,27656
AR,Conway city,47504
AR,Corning city,26660
AR,Cotter city,32305
AR,Cotton Plant city,20583
AR,Crossett city,31193
AR,Cushman city,28641
AR,Danville city,35365
AR,Dardanelle city,29962
AR,Decatur city,34457
AR,Delight city,25714
AR,De Queen city,30048
AR,Dermott city,21017
AR,Des Arc city,27804
AR,De Valls Bluff city,20833
AR,DeWitt city,31000
AR,Diamond City city,28438
AR,Diaz city,30144
AR,Dierks city,32083
AR,Dover city,33917
AR,Dumas city,21875
AR,Dyer city,45536
AR,Earle city,23098
AR,Elaine city,20156
AR,El Dorado city,34239
AR,Elkins city,48125
AR,Elm Springs city,67700
AR,Emmet city,34844
AR,England city,31577
AR,Eudora city,20104
AR,Eureka Springs city,34208
AR,Evening Shade city,32031
AR,Fairfield Bay city,34455
AR,Farmington city,50609
AR,Fayetteville city,39432
AR,Fifty-Six city,45625
AR,Fisher city,41000
AR,Flippin city,25033
AR,Fordyce city,31074
AR,Foreman city,37250
AR,Forrest City city,31322
AR,Fort Smith city,35096
AR,Fouke city,28571
AR,Gassville city,33500
AR,Gentry city,38902
AR,Gillett city,40938
AR,Gilmore city,24653
AR,Glenwood city,31756
AR,Gosnell city,39583
AR,Gould city,16458
AR,Grady city,14479
AR,Grannis city,40690
AR,Gravette city,41757
AR,Greenbrier city,48250
AR,Green Forest city,37981
AR,Greenland city,55521
AR,Greenway city,40417
AR,Greenwood city,51906
AR,Greers Ferry city,31810
AR,Grubbs city,37656
AR,Gurdon city,36150
AR,Guy city,50375
AR,Hackett city,31696
AR,Hamburg city,30563
AR,Hampton city,26222
AR,Hardy city,16520
AR,Harrisburg city,30030
AR,Harrison city,32323
AR,Hartford city,28646
AR,Hartman city,27917
AR,Haskell city,57331
AR,Havana city,41875
AR,Hazen city,34231
AR,Heber Springs city,43990
AR,Helena-West Helena city,22055
AR,Hermitage city,16250
AR,Hickory Ridge city,31875
AR,Highland city,40900
AR,Holland city,50089
AR,Holly Grove city,26696
AR,Hope city,24611
AR,Horatio city,28654
AR,Horseshoe Bend city,26528
AR,Hot Springs city,29836
AR,Hoxie city,27201
AR,Hughes city,18547
AR,Humnoke city,39844
AR,Humphrey city,34318
AR,Huntington city,26771
AR,Huntsville city,26098
AR,Huttig city,30179
AR,Jacksonville city,41006
AR,Jasper city,24028
AR,Johnson city,47135
AR,Joiner city,17250
AR,Jonesboro city,41688
AR,Judsonia city,27398
AR,Junction City city,45556
AR,Keiser city,32500
AR,Kensett city,26086
AR,Kibler city,38000
AR,Kingsland city,29038
AR,Knobel city,28333
AR,Lake City city,37226
AR,Lakeview city,38523
AR,Lake View city,15956
AR,Lake Village city,30486
AR,Lamar city,35411
AR,Lavaca city,51667
AR,Leachville city,38500
AR,Lepanto city,24550
AR,Leslie city,19643
AR,Lewisville city,21553
AR,Lincoln city,23692
AR,Little Flock city,44931
AR,Little Rock city,46085
AR,Lockesburg city,28882
AR,London city,32390
AR,Lonoke city,43366
AR,Lowell city,53676
AR,Luxora city,25050
AR,McCrory city,25234
AR,McGehee city,22963
AR,McNeil city,20134
AR,McRae city,31964
AR,Madison city,19602
AR,Magazine city,36875
AR,Magnolia city,34163
AR,Malvern city,26667
AR,Mammoth Spring city,25500
AR,Manila city,30114
AR,Mansfield city,40947
AR,Marianna city,25875
AR,Marion city,61669
AR,Marked Tree city,22674
AR,Marmaduke city,31379
AR,Marshall city,27216
AR,Marvell city,20982
AR,Maumelle city,77574
AR,Mayflower city,42798
AR,Melbourne city,31890
AR,Mena city,28509
AR,Mineral Springs city,33438
AR,Mitchellville city,18393
AR,Monette city,49732
AR,Monticello city,25123
AR,Montrose city,27708
AR,Morrilton city,27662
AR,Mountainburg city,33125
AR,Mountain Home city,33255
AR,Mountain Pine city,31333
AR,Mountain View city,23750
AR,Mount Ida city,38631
AR,Mulberry city,27229
AR,Murfreesboro city,26724
AR,Nashville city,29874
AR,Newark city,34306
AR,Newport city,27838
AR,Norfork city,35066
AR,Norphlet city,35469
AR,North Little Rock city,39591
AR,Ogden city,51250
AR,Oppelo city,42500
AR,Osceola city,29359
AR,Oxford city,31250
AR,Ozark city,31555
AR,Palestine city,35648
AR,Pangburn city,33750
AR,Paragould city,40340
AR,Paris city,32647
AR,Parkdale city,18333
AR,Parkin city,18563
AR,Patterson city,31125
AR,Peach Orchard city,26042
AR,Pea Ridge city,55426
AR,Perryville city,37137
AR,Piggott city,28358
AR,Pine Bluff city,30719
AR,Plainview city,49821
AR,Plumerville city,37083
AR,Pocahontas city,31765
AR,Pollard city,35000
AR,Portland city,29375
AR,Pottsville city,45700
AR,Prairie Grove city,58177
AR,Prescott city,26220
AR,Quitman city,30341
AR,Ratcliff city,38750
AR,Rector city,33156
AR,Redfield city,53393
AR,Reyno city,23194
AR,Rison city,23750
AR,Rockport city,40605
AR,Rogers city,52943
AR,Russellville city,35541
AR,St. Francis city,24167
AR,Salem city,24330
AR,Salesville city,38125
AR,Scranton city,32045
AR,Searcy city,40561
AR,Shannon Hills city,54375
AR,Sheridan city,45966
AR,Sherwood city,58245
AR,Siloam Springs city,43431
AR,Smackover city,34524
AR,Southside city,34694
AR,Sparkman city,26607
AR,Springdale city,42319
AR,Stamps city,25848
AR,Star City city,23958
AR,Stephens city,32875
AR,Strong city,19931
AR,Stuttgart city,35349
AR,Sulphur Springs city,23088
AR,Summit city,20357
AR,Swifton city,27054
AR,Taylor city,35000
AR,Texarkana city,38292
AR,Thornton city,39875
AR,Tillar city,51000
AR,Tontitown city,71645
AR,Traskwood city,48250
AR,Trumann city,29303
AR,Tuckerman city,36591
AR,Turrell city,17353
AR,Tyronza city,36094
AR,Van Buren city,39414
AR,Vilonia city,66277
AR,Waldo city,18505
AR,Waldron city,27130
AR,Walnut Ridge city,34567
AR,Ward city,46655
AR,Warren city,28938
AR,Washington city,36875
AR,Watson city,21250
AR,Weiner city,40500
AR,West Fork city,44006
AR,West Memphis city,30627
AR,Wheatley city,38636
AR,White Hall city,61477
AR,Wiederkehr Village city,58750
AR,Wilmar city,34500
AR,Wilmot city,22188
AR,Wilson city,48000
AR,Wilton city,29792
AR,Winslow city,37917
AR,Winthrop city,51250
AR,Wrightsville city,31563
AR,Wynne city,39015
AR,Yellville city,29402
CA,Adelanto city,33298
CA,Agoura Hills city,113658
CA,Alameda city,79312
CA,Albany city,79596
CA,Alhambra city,53582
CA,Aliso Viejo city,102367
CA,Alturas city,29730
CA,Amador City city,43750
CA,American Canyon city,75997
CA,Anaheim city,60752
CA,Anderson city,32536
CA,Angels city,57829
CA,Antioch city,64329
CA,Arcadia city,79934
CA,Arcata city,29435
CA,Arroyo Grande city,62032
CA,Artesia city,60749
CA,Arvin city,35609
CA,Atascadero city,66607
CA,Atwater city,41414
CA,Auburn city,53984
CA,Avalon city,59191
CA,Avenal city,32432
CA,Azusa city,53135
CA,Bakersfield city,57095
CA,Baldwin Park city,51742
CA,Banning city,40405
CA,Barstow city,39632
CA,Beaumont city,64830
CA,Bell city,37269
CA,Bellflower city,48823
CA,Bell Gardens city,37882
CA,Belmont city,109631
CA,Belvedere city,169659
CA,Benicia city,88394
CA,Berkeley city,66237
CA,Beverly Hills city,97327
CA,Big Bear Lake city,42031
CA,Biggs city,34911
CA,Bishop city,41069
CA,Blue Lake city,56991
CA,Blythe city,42798
CA,Bradbury city,109583
CA,Brawley city,37637
CA,Brea city,83717
CA,Brentwood city,92589
CA,Brisbane city,88141
CA,Buellton city,71667
CA,Buena Park city,70588
CA,Burbank city,66076
CA,Burlingame city,94500
CA,Calabasas city,106050
CA,Calexico city,34742
CA,California City city,54245
CA,Calimesa city,46025
CA,Calipatria city,31019
CA,Calistoga city,52733
CA,Camarillo city,88152
CA,Campbell city,96906
CA,Canyon Lake city,78556
CA,Capitola city,57458
CA,Carlsbad city,90597
CA,Carmel-by-the-Sea city,74758
CA,Carpinteria city,71174
CA,Carson city,72421
CA,Cathedral City city,39872
CA,Ceres city,47858
CA,Cerritos city,90321
CA,Chico city,42342
CA,Chino city,72872
CA,Chino Hills city,96914
CA,Chowchilla city,34559
CA,Chula Vista city,65185
CA,Citrus Heights city,50047
CA,Claremont city,88523
CA,Clayton city,131563
CA,Clearlake city,25404
CA,Cloverdale city,63917
CA,Clovis city,62666
CA,Coachella city,37497
CA,Coalinga city,51860
CA,Colfax city,48015
CA,Colton city,41565
CA,Colusa city,47607
CA,Commerce city,45341
CA,Compton city,43507
CA,Concord city,68318
CA,Corcoran city,31831
CA,Corning city,31667
CA,Corona city,74149
CA,Coronado city,90256
CA,Costa Mesa city,66459
CA,Cotati city,61737
CA,Covina city,64813
CA,Crescent City city,27622
CA,Cudahy city,36429
CA,Culver City city,81189
CA,Cupertino city,141953
CA,Cypress city,81738
CA,Daly City city,74449
CA,Dana Point city,84411
CA,Davis city,56463
CA,Delano city,35933
CA,Del Mar city,107013
CA,Del Rey Oaks city,86250
CA,Desert Hot Springs city,33027
CA,Diamond Bar city,89221
CA,Dinuba city,36860
CA,Dixon city,72188
CA,Dorris city,28977
CA,Dos Palos city,33608
CA,Downey city,62897
CA,Duarte city,62089
CA,Dublin city,118773
CA,Dunsmuir city,24770
CA,East Palo Alto city,52012
CA,Eastvale city,110927
CA,El Cajon city,45925
CA,El Centro city,40517
CA,El Cerrito city,88737
CA,Elk Grove city,79487
CA,El Monte city,38085
CA,El Paso de Robles (Paso Robles) city,60449
CA,El Segundo city,85727
CA,Emeryville city,77806
CA,Encinitas city,95149
CA,Escalon city,52125
CA,Escondido city,50899
CA,Etna city,30688
CA,Eureka city,37094
CA,Exeter city,41309
CA,Fairfield city,67364
CA,Farmersville city,33548
CA,Ferndale city,43548
CA,Fillmore city,56239
CA,Firebaugh city,39150
CA,Folsom city,100978
CA,Fontana city,64824
CA,Fort Bragg city,33867
CA,Fort Jones city,36136
CA,Fortuna city,44077
CA,Foster City city,123039
CA,Fountain Valley city,82367
CA,Fowler city,44539
CA,Fremont city,105355
CA,Fresno city,41531
CA,Fullerton city,65974
CA,Galt city,63065
CA,Gardena city,47674
CA,Garden Grove city,58449
CA,Gilroy city,83027
CA,Glendale city,52574
CA,Glendora city,75148
CA,Goleta city,80438
CA,Gonzales city,48865
CA,Grand Terrace city,63871
CA,Grass Valley city,33700
CA,Greenfield city,49263
CA,Gridley city,35455
CA,Grover Beach city,54228
CA,Guadalupe city,43710
CA,Gustine city,38125
CA,Half Moon Bay city,103255
CA,Hanford city,53986
CA,Hawaiian Gardens city,37571
CA,Hawthorne city,44504
CA,Hayward city,65096
CA,Healdsburg city,65638
CA,Hemet city,33989
CA,Hercules city,101018
CA,Hermosa Beach city,111187
CA,Hesperia city,44874
CA,Hidden Hills city,241667
CA,Highland city,53851
CA,Hollister city,69157
CA,Holtville city,24974
CA,Hughson city,52036
CA,Huntington Beach city,83252
CA,Huntington Park city,34887
CA,Huron city,27049
CA,Imperial city,80082
CA,Imperial Beach city,46659
CA,Indian Wells city,93625
CA,Indio city,50525
CA,Industry city,51835
CA,Inglewood city,42044
CA,Ione city,50231
CA,Irvine city,92278
CA,Irwindale city,50341
CA,Isleton city,34833
CA,Jackson city,43689
CA,Jurupa Valley city,57749
CA,Kerman city,41820
CA,King City city,40238
CA,Kingsburg city,57723
CA,La Ca_ada Flintridge city,156883
CA,Lafayette city,137895
CA,Laguna Beach city,98366
CA,Laguna Hills city,89754
CA,Laguna Niguel city,95536
CA,Laguna Woods city,38674
CA,La Habra city,63037
CA,La Habra Heights city,111382
CA,Lake Elsinore city,61248
CA,Lake Forest city,91254
CA,Lakeport city,39605
CA,Lakewood city,79193
CA,La Mesa city,54667
CA,La Mirada city,79330
CA,Lancaster city,47225
CA,La Palma city,82304
CA,La Puente city,56512
CA,La Quinta city,71091
CA,Larkspur city,88829
CA,Lathrop city,62267
CA,La Verne city,74631
CA,Lawndale city,47540
CA,Lemon Grove city,55404
CA,Lemoore city,49623
CA,Lincoln city,72399
CA,Lindsay city,30789
CA,Live Oak city,42288
CA,Livermore city,100992
CA,Livingston city,51538
CA,Lodi city,49316
CA,Loma Linda city,55895
CA,Lomita city,57078
CA,Lompoc city,44866
CA,Long Beach city,52783
CA,Los Alamitos city,80033
CA,Los Altos city,175938
CA,Los Angeles city,50205
CA,Los Banos city,44292
CA,Loyalton city,40563
CA,Lynwood city,43109
CA,McFarland city,34032
CA,Madera city,40457
CA,Malibu city,119659
CA,Manhattan Beach city,143527
CA,Manteca city,62364
CA,Maricopa city,28947
CA,Marina city,54193
CA,Martinez city,87959
CA,Marysville city,34566
CA,Maywood city,35582
CA,Mendota city,25862
CA,Menifee city,55985
CA,Menlo Park city,121816
CA,Merced city,37627
CA,Millbrae city,93777
CA,Mill Valley city,143005
CA,Milpitas city,100242
CA,Mission Viejo city,100366
CA,Modesto city,48577
CA,Monrovia city,70358
CA,Montague city,46591
CA,Montclair city,49366
CA,Montebello city,45875
CA,Monterey city,66166
CA,Monterey Park city,54097
CA,Monte Sereno city,193482
CA,Moorpark city,99777
CA,Moreno Valley city,54590
CA,Morgan Hill city,96051
CA,Morro Bay city,51338
CA,Mountain View city,103488
CA,Mount Shasta city,39777
CA,Murrieta city,74610
CA,Napa city,68038
CA,National City city,41437
CA,Needles city,30443
CA,Nevada City city,47981
CA,Newark city,86757
CA,Newman city,50225
CA,Newport Beach city,113071
CA,Norco city,88051
CA,Norwalk city,59756
CA,Novato city,78439
CA,Oakdale city,51785
CA,Oakland city,54618
CA,Oakley city,82885
CA,Oceanside city,57703
CA,Ojai city,61192
CA,Ontario city,54114
CA,Orange city,78513
CA,Orange Cove city,26838
CA,Orinda city,165103
CA,Orland city,36267
CA,Oroville city,36462
CA,Oxnard city,60621
CA,Pacifica city,100193
CA,Pacific Grove city,79740
CA,Palmdale city,52392
CA,Palm Desert city,52892
CA,Palm Springs city,44075
CA,Palo Alto city,136519
CA,Palos Verdes Estates city,174500
CA,Paramount city,45792
CA,Parlier city,31335
CA,Pasadena city,72402
CA,Patterson city,53542
CA,Perris city,49325
CA,Petaluma city,80276
CA,Pico Rivera city,55752
CA,Piedmont city,208772
CA,Pinole city,72149
CA,Pismo Beach city,73355
CA,Pittsburg city,60777
CA,Placentia city,79598
CA,Placerville city,45788
CA,Pleasant Hill city,81226
CA,Pleasanton city,124759
CA,Plymouth city,44844
CA,Point Arena city,28365
CA,Pomona city,49186
CA,Porterville city,38456
CA,Port Hueneme city,57848
CA,Portola city,33098
CA,Poway city,95815
CA,Rancho Cordova city,52530
CA,Rancho Cucamonga city,77396
CA,Rancho Mirage city,66086
CA,Rancho Palos Verdes city,118780
CA,Rancho Santa Margarita city,105328
CA,Red Bluff city,31239
CA,Redding city,43341
CA,Redlands city,65212
CA,Redondo Beach city,105145
CA,Redwood City city,84934
CA,Reedley city,44228
CA,Rialto city,50971
CA,Richmond city,55102
CA,Ridgecrest city,59936
CA,Rio Dell city,38400
CA,Rio Vista city,62079
CA,Ripon city,80734
CA,Riverbank city,60017
CA,Riverside city,57196
CA,Rocklin city,80177
CA,Rohnert Park city,58317
CA,Rolling Hills city,216458
CA,Rolling Hills Estates city,137500
CA,Rosemead city,44906
CA,Roseville city,75867
CA,Sacramento city,50739
CA,St. Helena city,85083
CA,Salinas city,49840
CA,San Bernardino city,37047
CA,San Bruno city,83888
CA,San Buenaventura (Ventura) city,66995
CA,San Carlos city,131685
CA,San Clemente city,98153
CA,Sand City city,40625
CA,San Diego city,66116
CA,San Dimas city,78034
CA,San Fernando city,55170
CA,San Francisco city,81294
CA,San Gabriel city,51579
CA,Sanger city,43099
CA,San Jacinto city,46725
CA,San Joaquin city,24437
CA,San Jose city,84647
CA,San Juan Bautista city,58446
CA,San Juan Capistrano city,72472
CA,San Leandro city,62761
CA,San Luis Obispo city,46058
CA,San Marcos city,57822
CA,San Marino city,133676
CA,San Mateo city,90208
CA,San Pablo city,43868
CA,San Rafael city,77294
CA,San Ramon city,128916
CA,Santa Ana city,52253
CA,Santa Barbara city,66107
CA,Santa Clara city,98914
CA,Santa Clarita city,83554
CA,Santa Cruz city,62164
CA,Santa Fe Springs city,53168
CA,Santa Maria city,50433
CA,Santa Monica city,76580
CA,Santa Paula city,52824
CA,Santa Rosa city,61050
CA,Santee city,76104
CA,Saratoga city,169189
CA,Sausalito city,122434
CA,Scotts Valley city,101475
CA,Seal Beach city,55270
CA,Seaside city,51704
CA,Sebastopol city,57560
CA,Selma city,42948
CA,Shafter city,40881
CA,Shasta Lake city,42003
CA,Sierra Madre city,92384
CA,Signal Hill city,65773
CA,Simi Valley city,90210
CA,Solana Beach city,96902
CA,Soledad city,51161
CA,Solvang city,67484
CA,Sonoma city,62516
CA,Sonora city,34605
CA,South El Monte city,40938
CA,South Gate city,43552
CA,South Lake Tahoe city,39793
CA,South Pasadena city,78957
CA,South San Francisco city,81439
CA,Stanton city,46801
CA,Stockton city,44797
CA,Suisun City city,66452
CA,Sunnyvale city,105401
CA,Susanville city,47857
CA,Sutter Creek city,40707
CA,Taft city,51369
CA,Tehachapi city,41705
CA,Tehama city,36250
CA,Temecula city,79925
CA,Temple City city,64372
CA,Thousand Oaks city,100946
